id,@id,addr:place,area,barrier,branch,building,building:levels,frequency,industrial,landuse,location,man_made,name,operator,operator:short,operator:wikidata,power,ref,roof:shape,source,start_date,street_cabinet,substation,utility,voltage,geometry,centroid
way/181912070,way/181912070,,,,,,,,,,outdoor,,Konongo Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-1.2196837 6.6350231, -1.2198956 6.6346561, -1.2192651 6.6342967, -1.2190531 6.6346636, -1.2196837 6.6350231))","(-1.2194743763071527, 6.634659883395881)"
way/186450367,way/186450367,,,fence,,,,,,,outdoor,,Ahafo Site,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.3405457 7.0276487, -2.3412663 7.0278902, -2.3413008 7.0277835, -2.34153 7.0278461, -2.3418111 7.0268639, -2.3417906 7.0268585, -2.341414 7.0267663, -2.3414378 7.0266707, -2.341147 7.0266029, -2.3411387 7.0266406, -2.3410896 7.0268306, -2.3409093 7.0267848, -2.3406787 7.0275296, -2.3405622 7.0275914, -2.3405589 7.0276027, -2.3405457 7.0276487))","(-2.341222258627123, 7.027276824635125)"
way/236307769,way/236307769,,,fence,,,,,,industrial,outdoor,,Buipe Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-1.4502052 8.7808023, -1.450196 8.7798138, -1.4492859 8.7798168, -1.4492905 8.7808023, -1.4502052 8.7808023))","(-1.4497446345699652, 8.780309212399324)"
way/236316930,way/236316930,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((0.056133 6.296063, 0.0558751 6.2957911, 0.0556368 6.2954027, 0.05584 6.2948783, 0.0560705 6.294754, 0.0563796 6.2948743, 0.0566746 6.2940883, 0.0569615 6.2941636, 0.057704 6.2953017, 0.0578876 6.2956551, 0.0576063 6.2963271, 0.0574461 6.2964475, 0.0561956 6.2960241, 0.056133 6.296063))","(0.05680875149323361, 6.29538722159294)"
way/246515897,way/246515897,,,,,,,,,,,,Kpong Generating Station,,,,substation,,,,,,,,,"POLYGON ((0.1256743 6.1166406, 0.1255126 6.1172347, 0.1244445 6.1169474, 0.1246062 6.1163532, 0.1256743 6.1166406))","(0.12505938636115813, 6.116793970069169)"
way/256518317,way/256518317,,,,,,,,,,outdoor,,Techiman Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-1.9270838 7.5763314, -1.9262546 7.5756227, -1.9257752 7.5761738, -1.9266043 7.5768826, -1.9270838 7.5763314))","(-1.9264294886957476, 7.576252635986385)"
way/256777447,way/256777447,,,,,,,,,,outdoor,,,Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,161000,"POLYGON ((0.010462 5.6757182, 0.0106338 5.6755728, 0.0104534 5.6753618, 0.0111027 5.6748121, 0.0117648 5.6755864, 0.0111138 5.6761374, 0.010933 5.6759259, 0.0107627 5.67607, 0.010462 5.6757182))","(0.011064974988192425, 5.675511665216308)"
way/258692953,way/258692953,,,,,,,,,,,,Kpong,,,,substation,,,,,,,,,"POLYGON ((0.063358 6.1732792, 0.0637063 6.1740838, 0.0627329 6.1745004, 0.0626446 6.1742964, 0.0620865 6.1745352, 0.0618798 6.1740577, 0.0624379 6.1738189, 0.0623846 6.1736958, 0.063358 6.1732792))","(0.06284660803360637, 6.173962723606681)"
way/282578857,way/282578857,,,fence,,,,,,,outdoor,,,Ghana Grid Company,,Q16733560,substation,,,,,,transmission,,330000,"POLYGON ((-0.000055 5.6952202, 0.0005019 5.6938155, 0.0015053 5.6941976, 0.0010343 5.695367, 0.0011498 5.6954525, 0.0009449 5.6956466, -0.000055 5.6952202))","(0.0007262805766363914, 5.694728693544055)"
way/282578859,way/282578859,,,fence,,,,,,,outdoor,,,Ghana Grid Company,,Q16733560,substation,,,,,,transmission,,161000,"POLYGON ((0.0015805 5.6959073, 0.0021669 5.6944263, 0.0024696 5.6945491, 0.0025257 5.694457, 0.0037376 5.6949549, 0.0032183 5.6962091, 0.0021679 5.6957792, 0.0020292 5.6960829, 0.0015805 5.6959073))","(0.00266393364261044, 5.695321121344532)"
way/297946983,way/297946983,,,,,,,,,,,street_cabinet,Station B Korlebu,,,,substation,,,,,power,,,,"POLYGON ((-0.2400898 5.5469363, -0.2400929 5.5462756, -0.2396692 5.5462736, -0.239666 5.5469342, -0.2400898 5.5469363))","(-0.2398794802568927, 5.546604938079511)"
way/298258042,way/298258042,,,,,,,,,,,,Station D,,,,substation,,,,,,,,,"POLYGON ((-0.2215537 5.5796674, -0.2215579 5.5793724, -0.2211982 5.5793674, -0.221194 5.5796623, -0.2215537 5.5796674))","(-0.2213759601593229, 5.579517375239935)"
way/298260302,way/298260302,,,,,,3,,,,,,ECG Station G,Electricity Company of Ghana,ECG,Q16733491,substation,,flat,,,,distribution,,,"POLYGON ((-0.2060468 5.5471907, -0.2058533 5.5469656, -0.2057905 5.547019, -0.2057655 5.5470403, -0.2057362 5.5470647, -0.2059714 5.5473347, -0.2060304 5.5472839, -0.2059937 5.5472414, -0.2060468 5.5471907))","(-0.20590054484630854, 5.5471425773164045)"
way/302110055,way/302110055,,,,,,,,,,,,Volta River Authority,,,,substation,,,,,,,,,"POLYGON ((-2.3189571 7.3340305, -2.3189417 7.3339615, -2.3202076 7.3336436, -2.3199055 7.3322943, -2.3176294 7.3328651, -2.317737 7.3333458, -2.3179455 7.3342164, -2.3185288 7.3340794, -2.3185964 7.33412, -2.3189571 7.3340305))","(-2.3189177970580683, 7.3332617059034435)"
way/302127341,way/302127341,,,,,,,,,,,,Obuasi Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-1.6887785 6.1651343, -1.6887785 6.1648583, -1.6888974 6.1648608, -1.6889395 6.1643558, -1.6888082 6.1643065, -1.687765 6.1642892, -1.6876981 6.1651047, -1.6887785 6.1651343))","(-1.6883036086001706, 6.164702214700272)"
way/302127344,way/302127344,,,,,,,,,,outdoor,,Akwatia Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.8238903 6.0138694, -0.8238955 6.0134198, -0.8235296 6.0134156, -0.8235333 6.0130951, -0.8231669 6.0130909, -0.823158 6.013861, -0.8238903 6.0138694))","(-0.8234798210674427, 6.01353861702204)"
way/302127345,way/302127345,Asawinso,,,,,,,,,,,Asawinso Substation,Ghana Grid Company Ltd,,,substation,,,,,,,,161000,"POLYGON ((-2.2220425 6.2457731, -2.2214856 6.2462153, -2.2219849 6.2468366, -2.2221245 6.2467258, -2.2221267 6.2467285, -2.2223825 6.2467914, -2.2226745 6.2465596, -2.2220425 6.2457731))","(-2.2220733023615225, 6.246349834604122)"
way/302127346,way/302127346,,,,,,,,,,,,GENSER,,,,substation,,,,,,,,161000,"POLYGON ((-1.9317825 5.9592778, -1.9317533 5.9592398, -1.9314242 5.958811, -1.9308719 5.9592303, -1.9312302 5.9596972, -1.9317825 5.9592778))","(-1.9313271903348317, 5.9592540858301)"
way/302127347,way/302127347,,,,,,,,,,,,Dunkwa,,,,substation,,,,,,,,161000,"POLYGON ((-1.7800285 5.9627114, -1.7794247 5.9625853, -1.7793285 5.9630407, -1.7794665 5.9630696, -1.7794224 5.9632785, -1.7798881 5.9633758, -1.7800285 5.9627114))","(-1.779678184310317, 5.96296666461531)"
way/302127349,way/302127349,,,,,,,,,,outdoor,,Kumasi Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-1.6157008 6.6766398, -1.6149525 6.6770286, -1.6156984 6.678333, -1.615852 6.6782518, -1.6159833 6.6784684, -1.6162212 6.6784832, -1.6162995 6.6784288, -1.6164269 6.6783404, -1.6160948 6.6777424, -1.6161964 6.6776242, -1.6157008 6.6766398))","(-1.6157099507345527, 6.677565036797579)"
way/302127350,way/302127350,,,,,,,,,,outdoor,,Tafo Substation,Ghana Grid Company Limited (GRIDCO),,,substation,,,,,,,,161000,"POLYGON ((-0.369102 6.210004, -0.369503 6.2095466, -0.3695424 6.209285, -0.3692882 6.2090946, -0.3691235 6.2092672, -0.368556 6.2087938, -0.368189 6.2092903, -0.369102 6.210004))","(-0.36889482382792677, 6.209397072874249)"
way/302155685,way/302155685,,,,,,,,,,outdoor,,Wa Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.4890178 10.0708547, -2.4890036 10.0703127, -2.4887416 10.0703193, -2.4887406 10.070282, -2.4876071 10.0703106, -2.487623 10.0709193, -2.4887514 10.0708909, -2.4887507 10.0708615, -2.4890178 10.0708547))","(-2.4883008637766277, 10.07059828882552)"
way/302155686,way/302155686,,,,,,,,,,outdoor,,Zebilla Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.4608098 10.9479452, -0.460478 10.9472879, -0.4595808 10.9477244, -0.4599125 10.9483817, -0.4608098 10.9479452))","(-0.4601952819168336, 10.947834802739816)"
way/302155687,way/302155687,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.8564858 10.6262916, -0.8558419 10.6262386, -0.8557862 10.6268919, -0.8564302 10.626945, -0.8564858 10.6262916))","(-0.8561360317082201, 10.626591784727779)"
way/302155694,way/302155694,,,fence,,,,,,,outdoor,,Bolgatanga Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.8707953 10.7942234, -0.8697698 10.794208, -0.8697533 10.7952705, -0.8709398 10.7952883, -0.8709447 10.7949725, -0.870865 10.7949713, -0.8707837 10.7949701, -0.8707953 10.7942234))","(-0.8703004880778489, 10.794763987634562)"
way/302155696,way/302155696,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.0003503 5.3126611, -1.9996852 5.3133634, -2.0003392 5.3139771, -2.0004238 5.3138877, -2.0007306 5.3141758, -2.0013111 5.3135629, -2.0003503 5.3126611))","(-2.0004966006991056, 5.313437133835765)"
way/302155700,way/302155700,,,,,,,,,,outdoor,,Sawla Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-2.4242619 9.2600303, -2.4230142 9.2594204, -2.4224634 9.2605181, -2.4235266 9.2610377, -2.4237111 9.2611279, -2.4242619 9.2600303))","(-2.423362645177586, 9.260274162063482)"
way/302155701,way/302155701,,,fence,,,,,,,outdoor,,Gridco Substation Tamale,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.8535287 9.4187226, -0.8526584 9.4193729, -0.8527073 9.4194356, -0.8533383 9.4202437, -0.8541879 9.4195879, -0.8535287 9.4187226))","(-0.8534265363349128, 9.419481744975004)"
way/344219002,way/344219002,,,,,,,,,,,,,,,,substation,,,,2015-02-03,,,,161000,"POLYGON ((-1.9917621 10.8638366, -1.990596 10.8632096, -1.990128 10.8640492, -1.9912941 10.8646762, -1.9917621 10.8638366))","(-1.9909450499999999, 10.863942900000001)"
way/363240240,way/363240240,,,,,,,,,,,,,,,,substation,,,survey,,,,,,"POLYGON ((1.1849734 6.1236755, 1.1847697 6.1236059, 1.1848496 6.1233749, 1.1850533 6.1234445, 1.1849734 6.1236755))","(1.1849115, 6.1235252000000004)"
way/420931503,way/420931503,,,,,,,,,,outdoor,,GRIDCo Prestea Substation,GRIDCo,,,substation,,,,,,transmission,,,"POLYGON ((-2.1390367 5.4381265, -2.1387901 5.4373295, -2.1380015 5.4375713, -2.1382481 5.4383683, -2.1390367 5.4381265))","(-2.1385191, 5.4378489000000005)"
way/420938461,way/420938461,,,,,,,,,,outdoor,,GRIDCo Prestea Substation,GRIDCo,,,substation,,,,,,transmission,,,"POLYGON ((-2.1392146 5.4372422, -2.1392811 5.4366051, -2.139096 5.4364542, -2.1384214 5.436383, -2.1383634 5.4369277, -2.1383445 5.4369258, -2.1383384 5.436983, -2.1382738 5.4369763, -2.1382647 5.4370635, -2.1382087 5.4370577, -2.1382004 5.4371373, -2.1392146 5.4372422))","(-2.1387945680154647, 5.436826115775482)"
way/463628052,way/463628052,,yes,,,,,,,,,,ECG Sub-Station,Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,,"POLYGON ((-0.1049437 5.6172239, -0.1049311 5.6168417, -0.1045194 5.6168492, -0.1045382 5.6172264, -0.1049437 5.6172239))","(-0.10473352084941548, 5.6170347987169675)"
way/488016558,way/488016558,,,,,,,,,,,,,GRiDCo,,,substation,,,,,,,,,"POLYGON ((-1.9546617 5.3605378, -1.9542354 5.3605329, -1.9542309 5.360927, -1.9546572 5.3609319, -1.9546617 5.3605378))","(-1.9544462999999996, 5.3607324)"
way/509571188,way/509571188,,,,,,,,,,,,Bui Hydro Substation,,,,substation,,,,,,generation,,,"POLYGON ((-2.2338134 8.2773084, -2.2327539 8.2763582, -2.2319976 8.2771412, -2.233116 8.2780702, -2.2332931 8.2779003, -2.2334379 8.2780118, -2.2339287 8.2775048, -2.2337705 8.2773668, -2.2338134 8.2773084))","(-2.232975945867752, 8.277259187006148)"
way/519827364,way/519827364,,,,,,,,,,outdoor,,Aflao Sub Station,Ghana Grid Company (GRIDCo),,,substation,,,,,,transmission,,161000,"POLYGON ((1.1739305 6.167529, 1.1739681 6.1666578, 1.1747808 6.1666925, 1.1747432 6.1675637, 1.1739305 6.167529))","(1.17435565, 6.16711075)"
way/545489566,way/545489566,,,,,,,,,,,,,Electricity Company of Ghana Limited,,,substation,,,Bing 2/1/2003-5/22/2014,,,transmission,,,"POLYGON ((-1.3438887 5.0996007, -1.3440764 5.0985575, -1.3432007 5.0984012, -1.343013 5.0994444, -1.3438887 5.0996007))","(-1.3435447, 5.099000950000001)"
way/552312064,way/552312064,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.0569499 5.2199868, -1.0569513 5.2195995, -1.0565838 5.2196021, -1.0564926 5.2196435, -1.0564806 5.2199761, -1.0569499 5.2199868))","(-1.0567224195893834, 5.219793984927542)"
way/570958795,way/570958795,,,,,,,,,,outdoor,,,,,,substation,,,,,,transmission,,161000,"POLYGON ((0.5517831 6.260686, 0.5517271 6.2596786, 0.5527825 6.2596322, 0.5528245 6.2604306, 0.5527825 6.2604817, 0.5527965 6.2606767, 0.5517831 6.260686))","(0.5522810212157954, 6.260164452601614)"
way/572941382,way/572941382,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-1.4623645 6.7275185, -1.4622465 6.7271429, -1.4619671 6.7272295, -1.4620851 6.7276051, -1.4623645 6.7275185))","(-1.4621658, 6.727374000000001)"
way/589678342,way/589678342,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.0967352 5.8876317, -0.0965166 5.8879772, -0.0967631 5.8881315, -0.0969817 5.887786, -0.0967352 5.8876317))","(-0.09674915000000002, 5.8878816)"
way/595164623,way/595164623,,,,,yes,,,,,platform,,,,,,substation,,,,,,distribution,,,"POLYGON ((-2.0024927 5.2990666, -2.0024176 5.2991187, -2.0024468 5.2991605, -2.0025219 5.2991084, -2.0024927 5.2990666))","(-2.00246975, 5.2991135499999995)"
way/605954253,way/605954253,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.0471345 5.6990536, -0.0467348 5.6988774, -0.0464813 5.6993111, -0.0468957 5.6994539, -0.0471345 5.6990536))","(-0.04680919319038728, 5.699172638518283)"
way/629958932,way/629958932,,,,,,,,,,,,Yendi Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.0150229 9.457673, -0.0150462 9.4576624, -0.015906 9.4572731, -0.0156241 9.4566673, -0.0147409 9.4570672, -0.0150229 9.457673))","(-0.015323468206980703, 9.457170135133378)"
way/630263563,way/630263563,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-2.2229722 6.2473357, -2.2227289 6.2470495, -2.222403 6.2473233, -2.2226463 6.2476095, -2.2229722 6.2473357))","(-2.2226875999999995, 6.247329499999999)"
way/663822817,way/663822817,,,fence,,,,,,,outdoor,,"ECG Power Station ""H"" Achimota Bulk Supply Point",Electricity Company of Ghana,ECG,Q16733491,substation,,,,,,distribution,,161000,"POLYGON ((-0.2044085 5.6056394, -0.2041782 5.6059666, -0.2034442 5.6072023, -0.2040401 5.607606, -0.2041792 5.6075962, -0.2043401 5.6075253, -0.2046016 5.6072944, -0.2050294 5.6066965, -0.2053325 5.6062493, -0.2044085 5.6056394))","(-0.20437288371910084, 5.606671995200805)"
way/666445031,way/666445031,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.2682186 5.6590381, -0.2679853 5.6592902, -0.268437 5.6597041, -0.2686451 5.6594792, -0.2685731 5.6594132, -0.2685982 5.659386, -0.2682186 5.6590381))","(-0.2683226393737533, 5.6593700261195945)"
way/667708204,way/667708204,,,,,,,,,,,,,,,,substation,,,,,,,,,"POLYGON ((-0.6457139 5.3880251, -0.6455687 5.3876988, -0.6451139 5.3878994, -0.6452591 5.3882257, -0.6457139 5.3880251))","(-0.6454139000000001, 5.387962249999999)"
way/667708205,way/667708205,,,,,,,,,,outdoor,,Winneba Substation,,,,substation,,,,,,transmission,,161000,"POLYGON ((-0.6462444 5.3886435, -0.646 5.3881138, -0.6453493 5.3884113, -0.6455936 5.388941, -0.6462444 5.3886435))","(-0.6457968314493112, 5.388527403834801)"
